xbj,t,x,Q2,gpd_u,gpd_d
0.0001,-0.1,0.000218471,2.5,36.2136,25.3468
0.0001,-0.1,0.000218471,3,37.7929,26.4342
0.0001,-0.1,0.000218471,4,40.2455,28.1192
0.0001,-0.1,0.000218471,5,42.1169,29.402
0.0001,-0.1,0.000218471,7.5,45.45,31.681
0.0001,-0.1,0.000218471,10,47.7697,33.2628
0.0001,-0.1,0.000224655,0.5,20.8827,14.6828
0.0001,-0.1,0.000224655,1,27.7044,19.4561
0.0001,-0.1,0.000224655,1.5,31.4469,22.0551
0.0001,-0.1,0.000224655,2,34.0081,23.8266
0.0001,-0.1,0.000224655,2.5,35.9505,25.1665
0.0001,-0.1,0.000224655,3,37.5145,26.2431
0.0001,-0.1,0.000224655,4,39.9431,27.9112
0.0001,-0.1,0.000224655,5,41.7959,29.1809
0.0001,-0.1,0.000224655,7.5,45.0954,31.4362
0.0001,-0.1,0.000224655,10,47.3913,33.0014
0.0001,-0.1,0.000231013,0.5,20.7567,14.5992
0.0001,-0.1,0.000231013,1,27.5196,19.331
0.0001,-0.1,0.000231013,1.5,31.2279,21.9059
0.0001,-0.1,0.000231013,2,33.7651,23.6604
0.0001,-0.1,0.000231013,2.5,35.6889,24.9871
0.0001,-0.1,0.000231013,3,37.2378,26.0531
0.0001,-0.1,0.000231013,4,39.6425,27.7044
0.0001,-0.1,0.000231013,5,41.4768,28.9611
0.0001,-0.1,0.000231013,7.5,44.7429,31.1929
0.0001,-0.1,0.000231013,10,47.0151,32.7414
0.0001,-0.1,0.000237551,0.5,20.6313,14.5161
0.0001,-0.1,0.000237551,1,27.3358,19.2065
0.0001,-0.1,0.000237551,1.5,31.0102,21.7574
0.0001,-0.1,0.000237551,2,33.5234,23.495
0.0001,-0.1,0.000237551,2.5,35.4289,24.8088
0.0001,-0.1,0.000237551,3,36.9627,25.8641
0.0001,-0.1,0.000237551,4,39.3437,27.4987
0.0001,-0.1,0.000237551,5,41.1597,28.7425
0.0001,-0.1,0.000237551,7.5,44.3926,30.951
0.0001,-0.1,0.000237551,10,46.6414,32.4831
0.0001,-0.1,0.000244275,0.5,20.5065,14.4332
0.0001,-0.1,0.000244275,1,27.1529,19.0825
0.0001,-0.1,0.000244275,1.5,30.7935,21.6096
0.0001,-0.1,0.000244275,2,33.2831,23.3305
0.0001,-0.1,0.000244275,2.5,35.1702,24.6313
0.0001,-0.1,0.000244275,3,36.6891,25.6762
0.0001,-0.1,0.000244275,4,39.0466,27.2942
0.0001,-0.1,0.000244275,5,40.8444,28.5252
0.0001,-0.1,0.000244275,7.5,44.0444,30.7105
0.0001,-0.1,0.000244275,10,46.27,32.2262
0.0001,-0.1,0.000251189,0.5,20.3822,14.3507
0.0001,-0.1,0.000251189,1,26.9709,18.9592
0.0001,-0.1,0.000251189,1.5,30.5781,21.4626
0.0001,-0.1,0.000251189,2,33.0442,23.1669
0.0001,-0.1,0.000251189,2.5,34.9131,24.4549
0.0001,-0.1,0.000251189,3,36.4172,25.4892
0.0001,-0.1,0.000251189,4,38.7514,27.0908
0.0001,-0.1,0.000251189,5,40.5311,28.3091
0.0001,-0.1,0.000251189,7.5,43.6984,30.4715
0.0001,-0.1,0.000251189,10,45.9009,31.971
0.0001,-0.1,0.000258298,0.5,20.2585,14.2686
0.0001,-0.1,0.000258298,1,26.7899,18.8365
0.0001,-0.1,0.000258298,1.5,30.3639,21.3163
0.0001,-0.1,0.000258298,2,32.8066,23.0041
0.0001,-0.1,0.000258298,2.5,34.6575,24.2794
0.0001,-0.1,0.000258298,3,36.1468,25.3034
0.0001,-0.1,0.000258298,4,38.4578,26.8886
0.0001,-0.1,0.000258298,5,40.2196,28.0943
0.0001,-0.1,0.000258298,7.5,43.3546,30.2339
0.0001,-0.1,0.000258298,10,45.5342,31.7173
0.0001,-0.1,0.000265609,0.5,20.1354,14.1868
0.0001,-0.1,0.000265609,1,26.6098,18.7143
0.0001,-0.1,0.000265609,1.5,30.1508,21.1708
0.0001,-0.1,0.000265609,2,32.5703,22.8422
0.0001,-0.1,0.000265609,2.5,34.4033,24.1048
0.0001,-0.1,0.000265609,3,35.878,25.1185
0.0001,-0.1,0.000265609,4,38.1661,26.6875
0.0001,-0.1,0.000265609,5,39.9101,27.8807
0.0001,-0.1,0.000265609,7.5,43.0129,29.9976
0.0001,-0.1,0.000265609,10,45.1697,31.4651
0.0001,-0.1,0.000273126,0.5,20.0129,14.1053
0.0001,-0.1,0.000273126,1,26.4307,18.5927
0.0001,-0.1,0.000273126,1.5,29.9389,21.026
0.0001,-0.1,0.000273126,2,32.3353,22.6811
0.0001,-0.1,0.000273126,2.5,34.1505,23.9312
0.0001,-0.1,0.000273126,3,35.6108,24.9346
0.0001,-0.1,0.000273126,4,37.876,26.4876
0.0001,-0.1,0.000273126,5,39.6023,27.6683
0.0001,-0.1,0.000273126,7.5,42.6732,29.7628
0.0001,-0.1,0.000273126,10,44.8076,31.2144
0.0001,-0.1,0.000280857,0.5,19.8909,14.0242
0.0001,-0.1,0.000280857,1,26.2525,18.4717
0.0001,-0.1,0.000280857,1.5,29.7282,20.882
0.0001,-0.1,0.000280857,2,32.1017,22.5209
0.0001,-0.1,0.000280857,2.5,33.8993,23.7585
0.0001,-0.1,0.000280857,3,35.3451,24.7518
0.0001,-0.1,0.000280857,4,37.5877,26.2888
0.0001,-0.1,0.000280857,5,39.2965,27.4571
0.0001,-0.1,0.000280857,7.5,42.3358,29.5294
0.0001,-0.1,0.000280857,10,44.4478,30.9653
0.0001,-0.1,0.000288806,0.5,19.7696,13.9434
0.0001,-0.1,0.000288806,1,26.0753,18.3513
0.0001,-0.1,0.000288806,1.5,29.5186,20.7387
0.0001,-0.1,0.000288806,2,31.8694,22.3615
0.0001,-0.1,0.000288806,2.5,33.6495,23.5867
0.0001,-0.1,0.000288806,3,35.081,24.5699
0.0001,-0.1,0.000288806,4,37.3011,26.0911
0.0001,-0.1,0.000288806,5,38.9926,27.2472
0.0001,-0.1,0.000288806,7.5,42.0004,29.2974
